config,n_neighbors,min_dist,documents,candidate_substantive_topics,candidate_outlier_count,candidate_outlier_rate,largest_candidate_topic_share_nonout,ari_all,ami_all,nmi_all,ari_common_nonout,reference_nonout_retained_rate,candidate_nonout_also_reference_nonout_rate,outlier_status_agreement,weighted_best_topic_jaccard,median_best_topic_jaccard,weighted_reference_topic_recall,reference_topics_jaccard_ge_050,reference_topics_jaccard_ge_033,industry,locked_substantive_topics,locked_outlier_count,locked_outlier_rate,hdbscan_min_cluster_size,hdbscan_min_samples
nn30_md0,30,0.0,8283,14,2772,0.3346613545816733,0.23970241335510797,0.667997042384607,0.7584893969369587,0.7600240040186804,0.9615072685675458,0.9233238904627007,0.8871348212665577,0.8758903778824098,0.7867349421088068,0.7499855874553212,0.9119924457034939,14,14,healthcare,16,2988,0.3607388627308946,70,10
nn50_md0,50,0.0,8283,13,2828,0.3414221900277677,0.45572868927589366,0.4751210007410125,0.657713224569112,0.6598928417384006,0.6389154865106067,0.884985835694051,0.8590284142988084,0.8336351563443197,0.5813918352089891,0.5979926291852897,0.8642115203021719,11,12,healthcare,16,2988,0.3607388627308946,70,10
nn15_md01,15,0.1,8283,12,3082,0.37208740794398165,0.22899442414920207,0.4687109998241225,0.6894503423781986,0.6911674487892204,0.7545501557075182,0.8349386213408876,0.8500288406075754,0.8003138959314258,0.5500901305274867,0.35889531544835507,0.76109537299339,7,8,healthcare,16,2988,0.3607388627308946,70,10
nn15_md05,15,0.5,8283,3,1563,0.18869974646867077,0.8922619047619048,0.02241521300336744,0.23236987407277176,0.23389524806852402,0.07811818859179519,0.9172804532577904,0.7227678571428572,0.7222021006881565,0.1943606602937628,0.036421394413130255,0.9170915958451369,2,2,healthcare,16,2988,0.3607388627308946,70,10
nn5_md0,5,0.0,5876,8,109,0.0185500340367597,0.748569446852783,0.25366218384895084,0.48480497713023224,0.4894652429074706,0.43479239028270183,0.9848848368522073,0.7118085659788451,0.70643294758339,0.4642506053805619,0.049791570171375636,0.9484165067178503,7,8,law,19,1708,0.2906739278420694,35,10
nn10_md0,10,0.0,5876,20,1611,0.2741660993873383,0.40656506447831187,0.7564296250816399,0.7719721484739016,0.7757269007132702,0.9833356423232535,0.9333013435700576,0.9120750293083235,0.8888699795779442,0.8378301451972802,0.7547169811320755,0.9059500959692899,16,16,law,19,1708,0.2906739278420694,35,10
nn15_md0_reproduction,15,0.0,5876,19,1708,0.2906739278420694,0.4059500959692898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,19,law,19,1708,0.2906739278420694,35,10
nn30_md0,30,0.0,5876,3,25,0.004254594962559565,0.807554264228337,0.19927164029997052,0.4155872278399307,0.4176822716133533,0.3316646035966444,1.0,0.712356862074859,0.7135806671204902,0.4171127526132054,0.016084656084656083,0.9932821497120922,2,3,law,19,1708,0.2906739278420694,35,10
nn50_md0,50,0.0,5876,3,69,0.011742682096664398,0.8107456517995523,0.19705143621726498,0.4086921448586767,0.41094238227729135,0.32764555579577304,0.9937619961612284,0.7132770793869467,0.712219196732471,0.41299141562414443,0.016142735768903994,0.9870441458733206,2,3,law,19,1708,0.2906739278420694,35,10
nn15_md01,15,0.1,5876,18,2282,0.388359428182437,0.39705063995548134,0.7120940462856005,0.8084268592263856,0.8113843724828119,0.9997001683166711,0.85052783109405,0.9863661658319421,0.8856364874063989,0.838826069125711,0.8269230769230769,0.8493282149712092,17,17,law,19,1708,0.2906739278420694,35,10
nn15_md05,15,0.5,5876,3,1549,0.2636147038801906,0.7917725907094985,0.16987942756851226,0.3335482800484466,0.33572500777163083,0.3501327652588797,0.8083013435700576,0.7785994915645944,0.7009870660313138,0.3778470477507485,0.017758369723435224,0.8078214971209213,2,3,law,19,1708,0.2906739278420694,35,10
nn5_md0,5,0.0,18813,95,6477,0.3442832084197098,0.1872568093385214,0.37345806243727353,0.5764965013754412,0.59738229621635,0.8984747549120753,0.8325694257212186,0.7509727626459144,0.7376813905278266,0.5640433879716613,0.38849129593810444,0.6826637907791858,28,39,software_engineering,66,7686,0.40854728113538513,35,5
nn10_md0,10,0.0,18813,72,7423,0.394567586243555,0.20289727831431079,0.5269255103784688,0.6909423672883279,0.7035496895887035,0.9262345284174879,0.850004493574189,0.8303775241439859,0.8085898049221283,0.6546496320648107,0.6291666666666667,0.7732542464276085,39,47,software_engineering,66,7686,0.40854728113538513,35,5
nn15_md0_reproduction,15,0.0,18813,66,7686,0.40854728113538513,0.20589556933584974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66,66,software_engineering,66,7686,0.40854728113538513,35,5
nn30_md0,30,0.0,18813,54,7968,0.4235369159623664,0.20756108805901338,0.5637385347726267,0.712741750122824,0.7221979795922066,0.9421559068385027,0.8376022288127977,0.8593822037805441,0.8228884282145325,0.686107539763456,0.6655294117647059,0.8110002696144514,42,47,software_engineering,66,7686,0.40854728113538513,35,5
nn50_md0,50,0.0,18813,52,8703,0.46260564503269014,0.22324431256181998,0.5039425003518114,0.6670891774200935,0.6778405332305969,0.9364774973846457,0.778466792486744,0.8567754698318496,0.7920055280922766,0.6334065397170059,0.45996543778801846,0.7445852431023636,32,44,software_engineering,66,7686,0.40854728113538513,35,5
nn15_md01,15,0.1,18813,3,3,0.00015946420028703555,0.9835725677830941,0.015401255787247367,0.06232810506076207,0.06479559645181109,0.007751559489207153,0.9999101285162219,0.5914938862307283,0.5915058735980439,0.06556121783972325,0.00494567861196692,0.9930798957490788,2,2,software_engineering,66,7686,0.40854728113538513,35,5
nn15_md05,15,0.5,18813,3,788,0.04188592994206134,0.9834119278779473,0.002000500463409193,0.06249439780393508,0.0657957288607296,0.007524780972877596,0.969443695515413,0.5984466019417476,0.5971934300749482,0.06436432484447767,0.004737003333472056,0.969443695515413,2,2,software_engineering,66,7686,0.40854728113538513,35,5
