industry,config,reference_topic,candidate_topic,reference_size,candidate_size,intersection,jaccard,reference_recall,candidate_precision
software_engineering,nn15_md05,4,1,550,17726,526,0.02963380281690141,0.9563636363636364,0.029673925307457973
software_engineering,nn15_md05,5,1,305,17726,300,0.016919519485646607,0.9836065573770492,0.016924292000451313
software_engineering,nn15_md05,6,2,241,234,232,0.9547325102880658,0.9626556016597511,0.9914529914529915
software_engineering,nn15_md05,7,1,239,17726,239,0.013483019293692881,1.0,0.013483019293692881
software_engineering,nn15_md05,8,1,239,17726,238,0.013425847577142212,0.99581589958159,0.01342660498702471
software_engineering,nn15_md05,9,1,226,17726,226,0.012749633307006658,1.0,0.012749633307006658
software_engineering,nn15_md05,10,1,225,17726,214,0.012065174493995603,0.9511111111111111,0.012072661626988604
software_engineering,nn15_md05,11,1,202,17726,200,0.01128158844765343,0.9900990099009901,0.01128286133363421
software_engineering,nn15_md05,12,1,194,17726,194,0.010944375493625183,1.0,0.010944375493625183
software_engineering,nn15_md05,13,1,190,17726,181,0.010205807724837892,0.9526315789473684,0.01021098950693896
software_engineering,nn15_md05,14,1,185,17726,181,0.01020868584320361,0.9783783783783784,0.01021098950693896
software_engineering,nn15_md05,15,1,172,17726,168,0.009475465313028765,0.9767441860465116,0.009477603520252736
software_engineering,nn15_md05,16,1,167,17726,158,0.008908937129968987,0.9461077844311377,0.008913460453571026
software_engineering,nn15_md05,17,1,154,17726,154,0.008687803226898341,1.0,0.008687803226898341
software_engineering,nn15_md05,18,1,150,17726,141,0.007950380603326755,0.94,0.007954417240212118
software_engineering,nn15_md05,19,1,144,17726,140,0.007896221094190638,0.9722222222222222,0.007898002933543946
software_engineering,nn15_md05,20,1,124,17726,124,0.00699537402685321,1.0,0.00699537402685321
software_engineering,nn15_md05,21,1,116,17726,101,0.005693027450538301,0.8706896551724138,0.0056978449734852755
software_engineering,nn15_md05,22,1,111,17726,110,0.0062052236701077455,0.990990990990991,0.006205573733498815
software_engineering,nn15_md05,23,1,108,17726,106,0.005979241877256318,0.9814814814814815,0.0059799165068261315
software_engineering,nn15_md05,24,1,106,17726,102,0.005752961082910322,0.9622641509433962,0.005754259280153447
software_engineering,nn15_md05,25,1,105,17726,100,0.005639839828548869,0.9523809523809523,0.005641430666817105
software_engineering,nn15_md05,26,1,105,17726,101,0.005696559503666102,0.9619047619047619,0.0056978449734852755
software_engineering,nn15_md05,27,1,100,17726,87,0.004904447826822256,0.87,0.004908044680130882
software_engineering,nn15_md05,28,1,96,17726,95,0.0053590568060021436,0.9895833333333334,0.005359359133476249
software_engineering,nn15_md05,29,1,92,17726,92,0.005190116213471737,1.0,0.005190116213471737
software_engineering,nn15_md05,30,1,92,17726,92,0.005190116213471737,1.0,0.005190116213471737
software_engineering,nn15_md05,31,1,91,17726,91,0.0051337019068035655,1.0,0.0051337019068035655
software_engineering,nn15_md05,32,1,85,17726,79,0.004455222197157681,0.9294117647058824,0.004456730226785513
software_engineering,nn15_md05,33,1,83,17726,75,0.004229164317130935,0.9036144578313253,0.004231073000112828
software_engineering,nn15_md05,34,1,81,17726,81,0.0045695588401218545,1.0,0.0045695588401218545
software_engineering,nn15_md05,35,1,80,17726,77,0.004343166563257939,0.9625,0.004343901613449171
software_engineering,nn15_md05,36,1,80,17726,80,0.004513144533453684,1.0,0.004513144533453684
software_engineering,nn15_md05,37,1,77,17726,69,0.00389083117176046,0.8961038961038961,0.0038925871601038025
software_engineering,nn15_md05,38,1,72,17726,66,0.0037220843672456576,0.9166666666666666,0.0037233442400992894
software_engineering,nn15_md05,39,1,71,17726,71,0.004005415773440144,1.0,0.004005415773440144
software_engineering,nn15_md05,40,1,68,17726,68,0.0038361728534356313,1.0,0.0038361728534356313
software_engineering,nn15_md05,41,0,67,65,65,0.9701492537313433,0.9701492537313433,1.0
software_engineering,nn15_md05,42,1,64,17726,59,0.0033275054988438327,0.921875,0.003328444093422092
software_engineering,nn15_md05,43,1,60,17726,60,0.0033848584000902627,1.0,0.0033848584000902627
software_engineering,nn15_md05,44,1,60,17726,56,0.003158488437676255,0.9333333333333333,0.003159201173417579
software_engineering,nn15_md05,45,1,60,17726,60,0.0033848584000902627,1.0,0.0033848584000902627
software_engineering,nn15_md05,46,1,60,17726,58,0.0032716606498194947,0.9666666666666667,0.0032720297867539208
software_engineering,nn15_md05,47,1,54,17726,54,0.0030463725600812365,1.0,0.0030463725600812365
software_engineering,nn15_md05,48,1,52,17726,52,0.0029335439467448945,1.0,0.0029335439467448945
software_engineering,nn15_md05,49,1,51,17726,51,0.0028771296400767234,1.0,0.0028771296400767234
software_engineering,nn15_md05,50,1,51,17726,50,0.0028205562136853386,0.9803921568627451,0.0028207153334085526
software_engineering,nn15_md05,51,1,51,17726,46,0.0025943263211324796,0.9019607843137255,0.0025950581067358683
software_engineering,nn15_md05,52,1,51,17726,51,0.0028771296400767234,1.0,0.0028771296400767234
software_engineering,nn15_md05,53,1,51,17726,49,0.00276398916967509,0.9607843137254902,0.0027643010267403814
software_engineering,nn15_md05,54,1,50,17726,48,0.002707581227436823,0.96,0.0027078867200722103
software_engineering,nn15_md05,55,1,50,17726,50,0.0028207153334085526,1.0,0.0028207153334085526
software_engineering,nn15_md05,56,1,48,17726,47,0.0026513228408642183,0.9791666666666666,0.002651472413404039
software_engineering,nn15_md05,57,1,47,17726,45,0.0025383574007220217,0.9574468085106383,0.002538643800067697
software_engineering,nn15_md05,58,1,44,17726,42,0.00236913357400722,0.9545454545454546,0.002369400880063184
software_engineering,nn15_md05,59,1,42,17726,41,0.0023128560952219777,0.9761904761904762,0.002312986573395013
software_engineering,nn15_md05,60,1,40,17726,39,0.0022000338466745643,0.975,0.002200157960058671
software_engineering,nn15_md05,61,1,38,17726,38,0.0021437436533904997,1.0,0.0021437436533904997
software_engineering,nn15_md05,62,1,38,17726,37,0.0020872115981271505,0.9736842105263158,0.002087329346722329
software_engineering,nn15_md05,63,1,36,17726,31,0.0017483503468501494,0.8611111111111112,0.0017488435067133025
software_engineering,nn15_md05,64,1,36,17726,35,0.001974389349579737,0.9722222222222222,0.0019745007333859866
software_engineering,nn15_md05,65,1,35,17726,35,0.0019745007333859866,1.0,0.0019745007333859866
