model_label,config,n_neighbors,min_dist,candidate_substantive_topics,candidate_outlier_rate,ari_all,ari_common_nonout,weighted_best_topic_jaccard,weighted_reference_topic_recall,reference_topics_jaccard_ge_050,locked_substantive_topics
Software engineering / IT,nn30_md0,30,0.0,54,0.4235369159623664,0.5637385347726267,0.9421559068385028,0.686107539763456,0.8110002696144514,42,66
Software engineering / IT,nn50_md0,50,0.0,52,0.4626056450326901,0.5039425003518114,0.9364774973846456,0.6334065397170059,0.7445852431023636,32,66
Software engineering / IT,nn15_md01,15,0.1,3,0.000159464200287,0.0154012557872473,0.0077515594892071,0.0655612178397232,0.9930798957490788,2,66
Software engineering / IT,nn15_md05,15,0.5,3,0.0418859299420613,0.0020005004634091,0.0075247809728775,0.0643643248444776,0.969443695515413,2,66
Explicit-boundary subset,nn5_md0,5,0.0,22,0.0967365967365967,0.3595435043863838,0.7602063227351624,0.60012821525007,0.8498452012383901,14,22
Explicit-boundary subset,nn10_md0,10,0.0,20,0.1888111888111888,0.4521622589008366,0.7885804762299159,0.6637558270765072,0.8637770897832817,16,22
Explicit-boundary subset,nn15_md0_reproduction,15,0.0,22,0.247086247086247,1.0,1.0,1.0,1.0,22,22
Explicit-boundary subset,nn30_md0,30,0.0,16,0.2703962703962704,0.3873353016097594,0.6314909868144276,0.5196530156570878,0.826625386996904,11,22
Explicit-boundary subset,nn50_md0,50,0.0,15,0.2867132867132867,0.4155122930960013,0.7655359513786512,0.563296915184342,0.7925696594427245,11,22
Explicit-boundary subset,nn15_md01,15,0.1,16,0.2925407925407925,0.594905023112732,0.7776681470369717,0.6858971079678348,0.8808049535603715,15,22
Explicit-boundary subset,nn15_md05,15,0.5,12,0.317016317016317,0.3733551257061347,0.6179088081260463,0.4731853411429846,0.7972136222910217,6,22
