config,n_neighbors,min_dist,documents,candidate_substantive_topics,candidate_outlier_count,candidate_outlier_rate,largest_candidate_topic_share_nonout,ari_all,ami_all,nmi_all,ari_common_nonout,reference_nonout_retained_rate,candidate_nonout_also_reference_nonout_rate,outlier_status_agreement,weighted_best_topic_jaccard,median_best_topic_jaccard,weighted_reference_topic_recall,reference_topics_jaccard_ge_050,reference_topics_jaccard_ge_033,model,locked_substantive_topics,locked_outlier_count,locked_outlier_rate,hdbscan_min_cluster_size,hdbscan_min_samples,model_label,config_label
nn30_md0,30,0.0,3199,2,90,0.0281337918099406,0.7780636860726922,0.1944445102269202,0.3957509615246575,0.39704354573651,0.3500100582663549,1.0,0.7034416211000322,0.7117849327914973,0.4071560716465899,0.072964034725093,0.9967992684042066,1,1,finance,8,1012.0,0.3163488590184433,70.0,10.0,Finance,30 / 0
nn50_md0,50,0.0,3199,4,572,0.1788058768365114,0.3665778454510849,0.5575430822235136,0.6677756132735994,0.6687921449708354,0.885279237010472,0.9428440786465476,0.7849257708412638,0.7843075961237886,0.7072375240295901,0.1832814122533748,0.9368998628257889,3,3,finance,8,1012.0,0.3163488590184433,70.0,10.0,Finance,50 / 0
nn15_md01,15,0.1,3199,3,323,0.100969052829009,0.7433936022253129,0.2244382731205892,0.4817065933659032,0.4831960202994322,0.4080462120335052,0.9917695473251028,0.7541724617524339,0.7733666770865896,0.4571899797915546,0.096561978071286,0.9913122999542752,2,3,finance,8,1012.0,0.3163488590184433,70.0,10.0,Finance,15 / 0.1
nn15_md05,15,0.5,3199,5,1581,0.4942169427946233,0.3139678615574783,0.331147363113939,0.495897770294574,0.4978998008710222,0.7552727166838082,0.6735253772290809,0.9103831891223731,0.7314785870584558,0.482686857772121,0.3419070756149408,0.6191129401005944,2,4,finance,8,1012.0,0.3163488590184433,70.0,10.0,Finance,15 / 0.5
nn5_md0,5,0.0,8283,3,90,0.0108656283955088,0.9677773709264006,0.0009953322874983,0.0702543182413913,0.0726442780672644,0.0142529558267401,0.9971671388101984,0.6444525814719883,0.646504889532778,0.0933948375464078,0.0304455762126778,0.9879131255901794,1,1,healthcare,16,2988.0,0.3607388627308946,70.0,10.0,Healthcare,5 / 0
nn10_md0,10,0.0,8283,12,1810,0.2185198599541229,0.261393480611772,0.4533435889570976,0.6742784941178454,0.6760818728282845,0.797578569203823,0.9609065155807366,0.7860342963077398,0.8077991066038874,0.6271618990163943,0.4779698934516362,0.9301227573182248,8,10,healthcare,16,2988.0,0.3607388627308946,70.0,10.0,Healthcare,10 / 0
nn15_md0_reproduction,15,0.0,8283,16,2988,0.3607388627308946,0.2396600566572237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16,16,healthcare,16,2988.0,0.3607388627308946,70.0,10.0,Healthcare,"15 / 0
(locked)"
nn30_md0,30,0.0,8283,14,2772,0.3346613545816733,0.2397024133551079,0.667997042384607,0.7584893969369587,0.7600240040186804,0.9615072685675458,0.9233238904627008,0.8871348212665577,0.8758903778824098,0.7867349421088068,0.7499855874553212,0.911992445703494,14,14,healthcare,16,2988.0,0.3607388627308946,70.0,10.0,Healthcare,30 / 0
nn50_md0,50,0.0,8283,13,2828,0.3414221900277677,0.4557286892758936,0.4751210007410125,0.657713224569112,0.6598928417384006,0.6389154865106067,0.884985835694051,0.8590284142988084,0.8336351563443197,0.5813918352089891,0.5979926291852897,0.8642115203021719,11,12,healthcare,16,2988.0,0.3607388627308946,70.0,10.0,Healthcare,50 / 0
nn15_md01,15,0.1,8283,12,3082,0.3720874079439816,0.228994424149202,0.4687109998241225,0.6894503423781986,0.6911674487892204,0.7545501557075182,0.8349386213408876,0.8500288406075754,0.8003138959314258,0.5500901305274867,0.358895315448355,0.76109537299339,7,8,healthcare,16,2988.0,0.3607388627308946,70.0,10.0,Healthcare,15 / 0.1
nn15_md05,15,0.5,8283,3,1563,0.1886997464686707,0.8922619047619048,0.0224152130033674,0.2323698740727717,0.233895248068524,0.0781181885917951,0.9172804532577904,0.7227678571428572,0.7222021006881565,0.1943606602937628,0.0364213944131302,0.9170915958451368,2,2,healthcare,16,2988.0,0.3607388627308946,70.0,10.0,Healthcare,15 / 0.5
nn5_md0,5,0.0,5876,8,109,0.0185500340367597,0.748569446852783,0.2536621838489508,0.4848049771302322,0.4894652429074706,0.4347923902827018,0.9848848368522072,0.7118085659788451,0.70643294758339,0.4642506053805619,0.0497915701713756,0.9484165067178504,7,8,law,19,1708.0,0.2906739278420694,35.0,10.0,Law,5 / 0
nn10_md0,10,0.0,5876,20,1611,0.2741660993873383,0.4065650644783118,0.7564296250816399,0.7719721484739016,0.7757269007132702,0.9833356423232535,0.9333013435700576,0.9120750293083236,0.8888699795779442,0.8378301451972802,0.7547169811320755,0.90595009596929,16,16,law,19,1708.0,0.2906739278420694,35.0,10.0,Law,10 / 0
nn15_md0_reproduction,15,0.0,5876,19,1708,0.2906739278420694,0.4059500959692898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,19,law,19,1708.0,0.2906739278420694,35.0,10.0,Law,"15 / 0
(locked)"
nn30_md0,30,0.0,5876,3,25,0.0042545949625595,0.807554264228337,0.1992716402999705,0.4155872278399307,0.4176822716133533,0.3316646035966444,1.0,0.712356862074859,0.7135806671204902,0.4171127526132054,0.016084656084656,0.9932821497120922,2,3,law,19,1708.0,0.2906739278420694,35.0,10.0,Law,30 / 0
nn50_md0,50,0.0,5876,3,69,0.0117426820966643,0.8107456517995523,0.1970514362172649,0.4086921448586767,0.4109423822772913,0.327645555795773,0.9937619961612284,0.7132770793869467,0.712219196732471,0.4129914156241444,0.0161427357689039,0.9870441458733206,2,3,law,19,1708.0,0.2906739278420694,35.0,10.0,Law,50 / 0
nn15_md01,15,0.1,5876,18,2282,0.388359428182437,0.3970506399554813,0.7120940462856005,0.8084268592263856,0.8113843724828119,0.9997001683166712,0.85052783109405,0.986366165831942,0.8856364874063989,0.838826069125711,0.8269230769230769,0.8493282149712092,17,17,law,19,1708.0,0.2906739278420694,35.0,10.0,Law,15 / 0.1
nn15_md05,15,0.5,5876,3,1549,0.2636147038801906,0.7917725907094985,0.1698794275685122,0.3335482800484466,0.3357250077716308,0.3501327652588797,0.8083013435700576,0.7785994915645944,0.7009870660313138,0.3778470477507485,0.0177583697234352,0.8078214971209213,2,3,law,19,1708.0,0.2906739278420694,35.0,10.0,Law,15 / 0.5
nn5_md0,5,0.0,18813,95,6477,0.3442832084197098,0.1872568093385214,0.3734580624372735,0.5764965013754412,0.59738229621635,0.8984747549120753,0.8325694257212186,0.7509727626459144,0.7376813905278266,0.5640433879716613,0.3884912959381044,0.6826637907791858,28,39,software_engineering,66,7686.0,0.4085472811353851,35.0,5.0,Software engineering / IT,5 / 0
nn10_md0,10,0.0,18813,72,7423,0.394567586243555,0.2028972783143107,0.5269255103784688,0.6909423672883279,0.7035496895887035,0.926234528417488,0.850004493574189,0.8303775241439859,0.8085898049221283,0.6546496320648107,0.6291666666666667,0.7732542464276085,39,47,software_engineering,66,7686.0,0.4085472811353851,35.0,5.0,Software engineering / IT,10 / 0
nn15_md0_reproduction,15,0.0,18813,66,7686,0.4085472811353851,0.2058955693358497,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66,66,software_engineering,66,7686.0,0.4085472811353851,35.0,5.0,Software engineering / IT,"15 / 0
(locked)"
