ngram_n,term,positive_frequency,negative_frequency,positive_document_frequency,negative_document_frequency,positive_document_prevalence,negative_document_prevalence,log_odds_z,log_likelihood_g2
3,ai tool not,6,0,6,0,0.006968641114982578,0.0,1.2834007370271636,10.137586744763858
3,use ai not,5,0,5,0,0.005807200929152149,0.0,1.1714275684757987,8.44466149582425
3,think ai going,5,1,5,1,0.005807200929152149,0.000877963125548727,0.8286347942531596,4.159290604454091
3,ai does not,12,6,12,6,0.013937282229965157,0.0052677787532923615,0.6281559925906784,4.106042774917275
3,does not know,12,6,11,5,0.012775842044134728,0.004389815627743635,0.6281559925906784,4.331751145003514
3,think ai replace,5,3,5,3,0.005807200929152149,0.0026338893766461808,0.28285484912679326,1.2260049540209335
3,i'm not sure,6,4,6,3,0.006968641114982578,0.0026338893766461808,0.22511515535522886,2.0436764466718196
3,ai not going,7,5,6,5,0.006968641114982578,0.004389815627743635,0.18000191755005088,0.5887365298659448
3,does not mean,7,5,7,5,0.008130081300813009,0.004389815627743635,0.18000191755005088,1.135540209793981
3,use chat gpt,5,4,5,4,0.005807200929152149,0.003511852502194908,0.05963624236885833,0.5693385115691154
3,ai not replace,6,5,6,5,0.006968641114982578,0.004389815627743635,0.027268354287103256,0.5887365298659448
3,not use ai,7,6,7,6,0.008130081300813009,0.0052677787532923615,0.0005409999766584119,0.6144858140263509
3,not think ai,8,7,8,7,0.009291521486643438,0.006145741878841089,-0.022346678643684705,0.6440687006840893
3,does not matter,3,6,2,5,0.0023228803716608595,0.004389815627743635,-0.7079749184425667,0.627524536151201
3,does not make,2,5,2,5,0.0023228803716608595,0.004389815627743635,-0.7680720895357558,0.627524536151201
3,free resource click,1,6,1,6,0.0011614401858304297,0.0052677787532923615,-1.1937934937853933,2.7082409821127538
3,did not use,1,6,1,5,0.0011614401858304297,0.004389815627743635,-1.1937934937853933,1.913971494116415
3,resource click subscribe,1,6,1,6,0.0011614401858304297,0.0052677787532923615,-1.1937934937853933,2.7082409821127538
3,click subscribe hope,1,6,1,6,0.0011614401858304297,0.0052677787532923615,-1.1937934937853933,2.7082409821127538
3,completely free resource,1,6,1,6,0.0011614401858304297,0.0052677787532923615,-1.1937934937853933,2.7082409821127538
3,cpa want career,0,5,0,5,0.0,0.004389815627743635,-1.3581595549271566,5.639435797530489
3,hope look newsletter,0,5,0,5,0.0,0.004389815627743635,-1.3581595549271566,5.639435797530489
3,know cpa completely,0,5,0,5,0.0,0.004389815627743635,-1.3581595549271566,5.639435797530489
3,hey noticed cpa,0,5,0,5,0.0,0.004389815627743635,-1.3581595549271566,5.639435797530489
3,career level stay,0,5,0,5,0.0,0.004389815627743635,-1.3581595549271566,5.639435797530489
3,level stay date,0,5,0,5,0.0,0.004389815627743635,-1.3581595549271566,5.639435797530489
3,subscribe hope look,0,5,0,5,0.0,0.004389815627743635,-1.3581595549271566,5.639435797530489
3,want career level,0,5,0,5,0.0,0.004389815627743635,-1.3581595549271566,5.639435797530489
3,cpa completely free,0,5,0,5,0.0,0.004389815627743635,-1.3581595549271566,5.639435797530489
3,latest advancements know,0,5,0,5,0.0,0.004389815627743635,-1.3581595549271566,5.639435797530489
3,sharing latest advancements,0,5,0,5,0.0,0.004389815627743635,-1.3581595549271566,5.639435797530489
3,newsletter sharing latest,0,5,0,5,0.0,0.004389815627743635,-1.3581595549271566,5.639435797530489
3,advancements know cpa,0,5,0,5,0.0,0.004389815627743635,-1.3581595549271566,5.639435797530489
3,look newsletter helpful,0,5,0,5,0.0,0.004389815627743635,-1.3581595549271566,5.639435797530489
3,noticed cpa want,0,5,0,5,0.0,0.004389815627743635,-1.3581595549271566,5.639435797530489
3,ai monthly newsletter,0,6,0,6,0.0,0.0052677787532923615,-1.487928909893334,6.7696022442375785
3,monthly newsletter sharing,0,6,0,6,0.0,0.0052677787532923615,-1.487928909893334,6.7696022442375785
3,date ai monthly,0,6,0,6,0.0,0.0052677787532923615,-1.487928909893334,6.7696022442375785
3,stay date ai,0,6,0,6,0.0,0.0052677787532923615,-1.487928909893334,6.7696022442375785
