boundary_topic,finance,healthcare,law,software_engineering
-1,61,37,70,44
0,0,97,2,1
1,0,1,61,0
2,20,14,7,15
3,10,9,9,13
4,7,8,7,17
5,1,1,1,35
6,31,0,0,0
7,3,1,24,0
8,0,26,0,0
9,2,2,5,15
10,0,1,15,4
11,0,3,16,0
12,0,14,5,0
13,5,2,7,4
14,0,0,0,18
15,16,0,0,1
16,0,7,7,2
17,0,1,0,15
18,0,15,0,0
19,14,0,1,0
20,6,1,4,3
21,14,0,0,0
