topic,finance,healthcare,law,software_engineering
0,668,1218,1554,8998
1,23,3719,99,113
2,358,491,606,1915
3,71,102,222,2250
4,42,45,2065,36
5,1,1321,24,18
6,838,5,9,18
7,62,125,84,550
8,66,9,13,711
9,1,390,12,5
10,16,39,28,257
11,32,52,140,70
12,0,1,1,240
13,6,18,25,178
14,207,0,4,5
15,5,4,10,196
16,14,16,2,120
17,18,8,22,102
