industry,display_label,all_modelled_explicit_boundary_comments,topic_minus_1_unassigned_comments,substantive_boundary_assignments_denominator,column_percentage_sum
finance,Finance,190,61,129,100.0
healthcare,Healthcare,240,37,203,100.00000000000001
law,Law,241,70,171,100.0
software_engineering,Software / IT,187,44,143,100.00000000000001
